Ráðuneyti,Rasto,Stofnun,Gjöld - sértekjur
00  Æðsta stjórn ríkisins,00101,Embætti forseta Íslands,95683116
00  Æðsta stjórn ríkisins,00201,Alþingi,1279564098
00  Æðsta stjórn ríkisins,00205,Framkvæmdir á Alþingisreit,0
00  Æðsta stjórn ríkisins,00290,Stjórnlagaþing,8643822
00  Æðsta stjórn ríkisins,00291,Rannsóknarnefndir Alþingis,128554301
00  Æðsta stjórn ríkisins,00295,Saksóknari Alþingis,17879273
00  Æðsta stjórn ríkisins,00301,Ríkisstjórn,134789479
00  Æðsta stjórn ríkisins,00401,Hæstiréttur,127234260
00  Æðsta stjórn ríkisins,00610,Umboðsmaður Alþingis,66544377
00  Æðsta stjórn ríkisins,00620,Ríkisendurskoðun,247447941
01  Forsætisráðuneyti,01101,"Forsætisráðuneyti, aðalskrifstofa",162044728
01  Forsætisráðuneyti,01190,Ýmis verkefni,12537139
01  Forsætisráðuneyti,01199,Ráðstöfunarfé,0
01  Forsætisráðuneyti,01201,Fasteignir forsætisráðuneytis,36801585
01  Forsætisráðuneyti,01203,Fasteignir Stjórnarráðsins,3835612
01  Forsætisráðuneyti,01241,Umboðsmaður barna,17476911
01  Forsætisráðuneyti,01253,Vest-norrænt menningarhús í Kaupmannahöfn,11691579
01  Forsætisráðuneyti,01261,Óbyggðanefnd,17433071
01  Forsætisráðuneyti,01271,Ríkislögmaður,35177490
01  Forsætisráðuneyti,01281,Atvinnuuppbygging og fjölgun vistvænna starfa,700000
01  Forsætisráðuneyti,01902,Þjóðgarðurinn á Þingvöllum,60105484
01  Forsætisráðuneyti,01996,"Íslenska upplýsingasamfélagið, sameiginleg verkefni ráðuneyta",0
02  Mennta- og menningarmálaráðuneyti,02101,"Mennta- og menningarmálaráðuneyti, aðalskrifstofa",437176703
02  Mennta- og menningarmálaráðuneyti,02199,Ráðstöfunarfé,0
02  Mennta- og menningarmálaráðuneyti,02201,Háskóli Íslands,4482343829
02  Mennta- og menningarmálaráðuneyti,02202,Tilraunastöð Háskólans að Keldum,84851687
02  Mennta- og menningarmálaráðuneyti,02203,Raunvísindastofnun Háskólans,265684664
