Ráðuneyti,Rasto,Stofnun,Gjöld - sértekjur
00  Æðsta stjórn ríkisins,00101,Embætti forseta Íslands,45090019
00  Æðsta stjórn ríkisins,00201,Alþingi,622711310
00  Æðsta stjórn ríkisins,00205,Framkvæmdir á Alþingisreit,0
00  Æðsta stjórn ríkisins,00207,Rannsókn á falli íslensku bankanna á árinu 2008,0
00  Æðsta stjórn ríkisins,00290,Stjórnlagaþing,6224502
00  Æðsta stjórn ríkisins,00291,Rannsóknarnefndir Alþingis,56322184
00  Æðsta stjórn ríkisins,00295,Saksóknari Alþingis,4175628
00  Æðsta stjórn ríkisins,00301,Ríkisstjórn,78713980
00  Æðsta stjórn ríkisins,00401,Hæstiréttur,66952766
00  Æðsta stjórn ríkisins,00610,Umboðsmaður Alþingis,30243526
00  Æðsta stjórn ríkisins,00620,Ríkisendurskoðun,119101240
01  Forsætisráðuneyti,01101,"Forsætisráðuneyti, aðalskrifstofa",75344928
01  Forsætisráðuneyti,01190,Ýmis verkefni,5539814
01  Forsætisráðuneyti,01199,Ráðstöfunarfé,0
01  Forsætisráðuneyti,01201,Fasteignir forsætisráðuneytis,14843330
01  Forsætisráðuneyti,01203,Fasteignir Stjórnarráðsins,1187488
01  Forsætisráðuneyti,01241,Umboðsmaður barna,8077451
01  Forsætisráðuneyti,01253,Vest-norrænt menningarhús í Kaupmannahöfn,194343
01  Forsætisráðuneyti,01261,Óbyggðanefnd,6074440
01  Forsætisráðuneyti,01271,Ríkislögmaður,17077215
01  Forsætisráðuneyti,01281,Atvinnuuppbygging og fjölgun vistvænna starfa,0
01  Forsætisráðuneyti,01902,Þjóðgarðurinn á Þingvöllum,23347898
01  Forsætisráðuneyti,01996,"Íslenska upplýsingasamfélagið, sameiginleg verkefni ráðuneyta",0
02  Mennta- og menningarmálaráðuneyti,02101,"Mennta- og menningarmálaráðuneyti, aðalskrifstofa",208219074
02  Mennta- og menningarmálaráðuneyti,02199,Ráðstöfunarfé,0
02  Mennta- og menningarmálaráðuneyti,02201,Háskóli Íslands,2289303784
02  Mennta- og menningarmálaráðuneyti,02202,Tilraunastöð Háskólans að Keldum,23151528
02  Mennta- og menningarmálaráðuneyti,02203,Raunvísindastofnun Háskólans,83467120
02  Mennta- og menningarmálaráðuneyti,02209,Stofnun Árna Magnússonar í íslenskum fræðum,61512788
02  Mennta- og menningarmálaráðuneyti,02210,Háskólinn á Akureyri,307655052
02  Mennta- og menningarmálaráðuneyti,02216,Landbúnaðarháskóli Íslands,203456917
02  Mennta- og menningarmálaráðuneyti,02217,Hólaskóli - Háskólinn á Hólum,96767258
02  Mennta- og menningarmálaráðuneyti,02223,Námsmatsstofnun,43078232
02  Mennta- og menningarmálaráðuneyti,02225,Háskólinn á Bifröst,80424000
02  Mennta- og menningarmálaráðuneyti,02227,Háskólinn í Reykjavík,503523000
02  Mennta- og menningarmálaráðuneyti,02228,Listaháskóli Íslands,164849880
02  Mennta- og menningarmálaráðuneyti,02231,Rannsóknamiðstöð Íslands,70452126
02  Mennta- og menningarmálaráðuneyti,02234,Ritlauna- og rannsóknasjóður prófessora,0
02  Mennta- og menningarmálaráðuneyti,02235,Markáætlun á sviði vísinda og tækni,11223000
02  Mennta- og menningarmálaráðuneyti,02236,Rannsóknasjóður,221652838
02  Mennta- og menningarmálaráðuneyti,02238,Tækjasjóður,27564399
02  Mennta- og menningarmálaráðuneyti,02239,Rannsóknarnámssjóður,23156087
02  Mennta- og menningarmálaráðuneyti,02269,"Háskóla- og vísindastofnanir, viðhald og stofnkostnaður",1837787
02  Mennta- og menningarmálaráðuneyti,02299,Háskóla- og rannsóknastarfsemi,68928611
02  Mennta- og menningarmálaráðuneyti,02301,Menntaskólinn í Reykjavík,137076370
02  Mennta- og menningarmálaráðuneyti,02302,Menntaskólinn á Akureyri,135187979
02  Mennta- og menningarmálaráðuneyti,02303,Menntaskólinn að Laugarvatni,50681230
02  Mennta- og menningarmálaráðuneyti,02304,Menntaskólinn við Hamrahlíð,235054865
02  Mennta- og menningarmálaráðuneyti,02305,Menntaskólinn við Sund,126043552
02  Mennta- og menningarmálaráðuneyti,02306,Menntaskólinn á Ísafirði,69002719
02  Mennta- og menningarmálaráðuneyti,02307,Menntaskólinn á Egilsstöðum,76256993
02  Mennta- og menningarmálaráðuneyti,02308,Menntaskólinn í Kópavogi,211384877
02  Mennta- og menningarmálaráðuneyti,02309,Kvennaskólinn í Reykjavík,122254171
02  Mennta- og menningarmálaráðuneyti,02316,Fasteignir framhaldsskóla,10336352
02  Mennta- og menningarmálaráðuneyti,02318,"Framhaldsskólar, stofnkostnaður",9929823
02  Mennta- og menningarmálaráðuneyti,02319,"Framhaldsskólar, almennt",175481952
02  Mennta- og menningarmálaráðuneyti,02320,Nám á framhaldsstigi vegna aðstæðna á vinnumarkaði,13920000
02  Mennta- og menningarmálaráðuneyti,02350,Fjölbrautaskólinn í Breiðholti,247966727
02  Mennta- og menningarmálaráðuneyti,02351,Fjölbrautaskólinn Ármúla,220973567
02  Mennta- og menningarmálaráðuneyti,02352,Flensborgarskóli,151238196
02  Mennta- og menningarmálaráðuneyti,02353,Fjölbrautaskóli Suðurnesja,200566397
02  Mennta- og menningarmálaráðuneyti,02354,Fjölbrautaskóli Vesturlands,111689817
02  Mennta- og menningarmálaráðuneyti,02355,Framhaldsskólinn í Vestmannaeyjum,55161443
02  Mennta- og menningarmálaráðuneyti,02356,Fjölbrautaskóli Norðurlands vestra,94735519
02  Mennta- og menningarmálaráðuneyti,02357,Fjölbrautaskóli Suðurlands,221566903
02  Mennta- og menningarmálaráðuneyti,02358,Verkmenntaskóli Austurlands,67100778
02  Mennta- og menningarmálaráðuneyti,02359,Verkmenntaskólinn á Akureyri,313411057
02  Mennta- og menningarmálaráðuneyti,02360,Fjölbrautaskólinn í Garðabæ,145853935
02  Mennta- og menningarmálaráðuneyti,02361,Framhaldsskólinn í A-Skaftafellssýslu,39944560
02  Mennta- og menningarmálaráðuneyti,02362,Framhaldsskólinn á Húsavík,33226742
02  Mennta- og menningarmálaráðuneyti,02363,Framhaldsskólinn á Laugum,48053836
02  Mennta- og menningarmálaráðuneyti,02365,Borgarholtsskóli,252354241
